ID,Order_Id,Order_Date,Order_Priority,Order_Quantity,Value,Discount,Shipping_mode,Profit,Unit_price,Shipping_cost,Customer_name,Province,Region,Customer_segment,Product_category,Product_subcategory,Product_name,Product_container,Product_base_margin,Shipping_date
22,132,6/10/2010,Medium,27,209.2581,0.03,Regular Air,74.7901,7.99,5.03,Emily Phan,Quebec,Quebec,Consumer,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box,0.6,00:00.0
23,132,6/10/2010,Medium,30,3732.93,0.05,Delivery Truck,966.904,130.98,54.74,Emily Phan,Nova Scotia,Atlantic,Consumer,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",Jumbo Box,0.69,00:00.0
24,134,4/30/2012,Not Specified,11,1045.3311,0.01,Regular Air,1010.3311,95.99,35,Michael Dominguez,Ontario,Ontario,Home Office,Office Supplies,Storage & Organization,Safco Industrial Wire Shelving,Large Box,NULL,00:00.0
25,135,10/20/2011,Not Specified,25,113.295,0.09,Regular Air,28.995,4.98,4.62,Anne Pryor,Quebec,Quebec,Consumer,Technology,Computer Peripherals,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Small Pack,0.64,00:00.0
26,166,9/11/2011,High,10,646.702,0.02,Express Air,274.767,65.99,8.99,Valerie Takahito,Manitoba,Prarie,Consumer,Technology,Telephones and Communication,i270,Small Box,0.55,00:00.0
27,193,8/7/2010,Critical,14,163.7104,0.06,Regular Air,58.1692,12.44,6.27,Justin Hirsh,Quebec,Quebec,Consumer,Office Supplies,Storage & Organization,Eldon Simplefile® Box Office®,Medium Box,0.57,00:00.0
28,194,4/4/2012,Medium,49,321.048,0.1,Regular Air,163.2456,7.28,7.98,Maria Zettner,Alberta,West,Corporate,Furniture,Office Furnishings,"Master Caster Door Stop, Large Neon Orange",Wrap Bag,0.42,00:00.0
29,194,4/4/2012,Medium,6,18.0864,0.04,Regular Air,0.3408,3.14,1.92,Maria Zettner,Alberta,West,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Serrated Blade or Curved Handle Hand Letter Openers,Wrap Bag,0.84,00:00.0
30,195,12/27/2010,Medium,34,1205.419,0.03,Regular Air,682.022,36.55,13.89,Brad Thomas,Yukon,Yukon,Home Office,Office Supplies,Pens & Art Supplies,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Wrap Bag,0.41,00:00.0
31,197,4/6/2011,High,23,295.5546,0.01,Regular Air,113.2906,12.98,3.14,Penelope Sewall,Manitoba,Prarie,Home Office,Office Supplies,"Scissors, Rulers and Trimmers","Acme® 8"" Straight Scissors",Small Pack,0.6,00:00.0
32,224,6/17/2009,Not Specified,25,167.895,0.09,Regular Air,59.365,7.38,5.21,Bart Folk,Yukon,Yukon,Corporate,Furniture,Office Furnishings,"Eldon® Expressions™ Wood Desk Accessories, Oak",Small Box,0.56,00:00.0
33,224,6/17/2009,Not Specified,44,252.5952,0.04,Regular Air,152.722,5.98,5.15,Bart Folk,Yukon,Yukon,Corporate,Office Supplies,Paper,Xerox 193,Small Box,0.36,00:00.0
34,224,6/17/2009,Not Specified,33,488.5056,0.04,Regular Air,182.6868,15.42,10.68,Bart Folk,Yukon,Yukon,Corporate,Office Supplies,Storage & Organization,"Decoflex Hanging Personal Folder File, Blue",Small Box,0.58,00:00.0
35,225,5/24/2011,Critical,24,125.8848,0.06,Regular Air,44.8328,5.58,0.7,Karen Ferguson,Quebec,Quebec,Home Office,Office Supplies,Pens & Art Supplies,Newell 314,Wrap Bag,0.6,00:00.0
36,225,5/24/2011,Critical,1,18.848,0.05,Regular Air,6.0184,19.84,4.1,Karen Ferguson,Quebec,Quebec,Home Office,Office Supplies,Pens & Art Supplies,Prismacolor Color Pencil Set,Wrap Bag,0.44,00:00.0
37,229,12/28/2010,Critical,43,483.7328,0.11,Regular Air,217.8632,12.64,4.98,Matt Abelman,Nova Scotia,Atlantic,Consumer,Furniture,Office Furnishings,Nu-Dell Executive Frame,Small Pack,0.48,00:00.0
38,229,12/28/2010,Critical,24,586.1184,0.02,Regular Air,339.8872,24.92,12.98,Peter Fuller,Saskachewan,Prarie,Consumer,Office Supplies,Binders and Binder Accessories,GBC Standard Therm-A-Bind Covers,Small Box,0.39,00:00.0
39,230,10/26/2010,Critical,47,1943.0364,0.06,Regular Air,735.1516,43.98,8.99,Erin Creighton,Ontario,Ontario,Corporate,Office Supplies,Pens & Art Supplies,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Small Pack,0.58,00:00.0
40,230,10/26/2010,Critical,11,1302.7366,0.06,Regular Air,504.6993,125.99,8.08,Erin Creighton,Ontario,Ontario,Corporate,Technology,Telephones and Communication,StarTAC ST7762,Small Box,0.57,00:00.0
41,231,9/28/2009,High,2,682.91,0.06,Regular Air,248.815,363.25,19.99,Sean Braxton,Manitoba,Prarie,Small Business,Office Supplies,Appliances,Hoover WindTunnel™ Plus Canister Vacuum,Small Box,0.57,00:00.0
42,258,12/28/2010,Critical,21,136.08,0,Regular Air,78.3512,6.48,8.74,Liz Willingham,Nova Scotia,Atlantic,Home Office,Office Supplies,Paper,Xerox 1984,Small Box,0.36,00:00.0
43,258,12/28/2010,Critical,7,146.86,0,Delivery Truck,-20.7208,20.98,53.03,Liz Willingham,Nova Scotia,Atlantic,Home Office,Office Supplies,Storage & Organization,"Tennsco Lockers, Gray",Jumbo Drum,0.78,00:00.0
44,258,12/28/2010,Critical,33,211.5036,0.02,Regular Air,128.5384,6.54,5.27,Liz Willingham,Quebec,Quebec,Home Office,Office Supplies,Binders and Binder Accessories,Wilson Jones® Four-Pocket Poly Binders,Small Box,0.36,00:00.0
45,261,6/28/2010,Medium,47,6361.4688,0.04,Regular Air,2447.6161,140.99,4.2,Sonia Sunley,British Columbia,West,Small Business,Technology,Telephones and Communication,7160,Small Box,0.59,00:00.0
46,263,5/16/2009,High,25,122.85,0.09,Regular Air,65.12,5.4,7.78,Paul Lucas,Yukon,Yukon,Corporate,Office Supplies,Binders and Binder Accessories,3M Organizer Strips,Small Box,0.37,00:00.0
47,290,1/5/2009,Not Specified,24,174.192,0.05,Regular Air,102.3524,7.64,5.83,Dorris Love,Quebec,Quebec,Home Office,Office Supplies,Paper,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Wrap Bag,0.36,00:00.0
48,292,1/12/2012,High,43,391.644,0.08,Regular Air,232.745,9.9,1.39,Valerie Takahito,Saskachewan,Prarie,Consumer,Office Supplies,Envelopes,#6 3/4 Gummed Flap White Envelopes,Small Box,0.37,00:00.0
49,293,10/1/2012,High,49,9485.8512,0.07,Delivery Truck,3501.924,208.16,68.02,Barry French,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Jumbo Drum,0.58,00:00.0
50,293,10/1/2012,High,27,232.2837,0.01,Regular Air,137.788,8.69,2.99,Barry French,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,0.39,00:00.0
51,294,7/15/2010,Medium,35,6355.293,0.06,Regular Air,1535.0285,193.17,19.99,Sanjit Chand,British Columbia,West,Home Office,Office Supplies,Storage & Organization,Fellowes Staxonsteel® Drawer Files,Small Box,0.71,00:00.0
52,322,3/18/2012,Critical,20,2870.216,0.08,Regular Air,990.256,155.99,8.08,Giulietta Weimer,British Columbia,West,Corporate,Technology,Telephones and Communication,I888 World Phone,Small Box,0.6,00:00.0
53,322,3/18/2012,Critical,46,268.272,0.1,Regular Air,147.9324,6.48,10.05,Giulietta Weimer,British Columbia,West,Corporate,Office Supplies,Paper,Xerox 1997,Small Box,0.37,00:00.0
54,323,3/25/2009,Critical,20,105.648,0.07,Regular Air,61.09,5.68,1.39,Dario Medina,Yukon,Yukon,Small Business,Office Supplies,Envelopes,Staples Standard Envelopes,Small Box,0.38,00:00.0
55,323,3/25/2009,Critical,2,42.9392,0.06,Regular Air,13.584,22.84,11.54,Dario Medina,Yukon,Yukon,Small Business,Office Supplies,Paper,Xerox 1964,Small Box,0.39,00:00.0
56,324,3/19/2012,Critical,25,4409.755,0.02,Regular Air,1830.9075,179.99,13.99,Frank Gastineau,Saskachewan,Prarie,Small Business,Technology,Telephones and Communication,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Medium Box,0.57,00:00.0
57,325,10/16/2010,Low,9,981.2754,0.06,Regular Air,392.4558,115.99,4.23,Craig Yedwab,Nova Scotia,Atlantic,Corporate,Technology,Telephones and Communication,282,Small Box,0.56,00:00.0
58,326,6/3/2011,High,34,197.5502,0.03,Regular Air,115.2394,5.99,4.92,Michelle Tran,Quebec,Quebec,Consumer,Office Supplies,Binders and Binder Accessories,"DXL™ Angle-View Binders with Locking Rings, Black",Small Box,0.38,00:00.0
59,326,6/3/2011,High,17,93.8315,0.05,Regular Air,37.1257,5.81,3.37,Michelle Tran,Quebec,Quebec,Consumer,Office Supplies,Rubber Bands,"Advantus Push Pins, Aluminum Head",Wrap Bag,0.54,00:00.0
60,353,12/30/2010,Low,21,45.4818,0.02,Regular Air,26.846,2.21,1,Dean Percer,Yukon,Yukon,Home Office,Office Supplies,Pens & Art Supplies,"Quartet Alpha® White Chalk, 12/Pack",Wrap Bag,0.38,00:00.0
61,355,6/13/2009,Low,16,1375.84,0,Regular Air,205.386,85.99,0.99,Henry MacAllister,Ontario,Ontario,Small Business,Technology,Telephones and Communication,Accessory4,Wrap Bag,0.85,00:00.0
62,358,9/19/2010,High,33,1571.0772,0.02,Delivery Truck,410.8006,48.58,54.11,Ricardo Block,Alberta,West,Corporate,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Jumbo Box,0.69,00:00.0
63,358,9/19/2010,High,33,1211.6412,0.07,Regular Air,506.1176,39.48,1.99,Ricardo Block,Alberta,West,Corporate,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",Small Pack,0.54,00:00.0
64,359,12/18/2009,Medium,30,3435.924,0.08,Delivery Truck,1031.123,124.49,51.94,Cari Sayre,Alberta,West,Corporate,Furniture,Tables,Bevis 36 x 72 Conference Tables,Jumbo Box,0.63,00:00.0
65,384,3/2/2012,Low,50,7156.45,0.02,Delivery Truck,1891.475,146.05,80.2,Sonia Cooley,Alberta,West,Corporate,Furniture,Tables,BPI Conference Tables,Jumbo Box,0.71,00:00.0
66,386,1/24/2011,High,4,14.4648,0.02,Regular Air,8.356,3.69,0.5,Tracy Poddar,Ontario,Ontario,Corporate,Office Supplies,Labels,Avery 501,Small Box,0.38,00:00.0
67,386,1/24/2011,High,4,14.014,0.09,Regular Air,6.538,3.85,0.7,Tracy Poddar,Ontario,Ontario,Corporate,Office Supplies,Pens & Art Supplies,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,Wrap Bag,0.44,00:00.0
68,388,12/15/2012,Not Specified,46,505.908,0.06,Regular Air,229.848,11.7,6.96,Jennifer Halladay,Ontario,Ontario,Home Office,Office Supplies,Appliances,Harmony HEPA Quiet Air Purifiers,Medium Box,0.5,00:00.0
69,416,9/26/2010,Low,20,1306.602,0.01,Express Air,520.23,65.99,7.69,Stuart Calhoun,Ontario,Ontario,Consumer,Technology,Telephones and Communication,5190,Small Box,0.59,00:00.0
70,417,2/5/2009,Medium,39,18170.5446,0.07,Delivery Truck,10717.881,500.98,28.14,Robert Barroso,Yukon,Yukon,Small Business,Technology,Office Machines,"Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers",Jumbo Drum,0.38,00:00.0
71,417,2/5/2009,Medium,3,481.869,0.1,Regular Air,167.4035,178.47,19.99,Robert Barroso,Yukon,Yukon,Small Business,Office Supplies,Storage & Organization,"Hot File® 7-Pocket, Floor Stand",Small Box,0.55,00:00.0
72,420,10/30/2011,Not Specified,8,36.2544,0.09,Regular Air,16.2552,4.98,4.86,Tony Sayre,Alberta,West,Small Business,Office Supplies,Paper,Xerox 190,Small Box,0.38,00:00.0
73,420,10/30/2011,Not Specified,6,33.6396,0.03,Regular Air,15.7848,5.78,5.37,Tony Sayre,Alberta,West,Small Business,Office Supplies,Paper,Xerox 1950,Small Box,0.36,00:00.0
74,448,8/20/2011,Medium,22,1321.1198,0.09,Regular Air,444.5796,65.99,19.99,Brad Thomas,Yukon,Yukon,Corporate,Technology,Telephones and Communication,iDENi80s,Small Box,0.59,00:00.0
75,449,7/19/2011,High,45,325.458,0.02,Regular Air,134.272,7.38,5.21,Candace McMahon,Ontario,Ontario,Corporate,Furniture,Office Furnishings,"Eldon® Expressions™ Wood Desk Accessories, Oak",Small Box,0.56,00:00.0
76,450,3/4/2011,Not Specified,29,952.679,0.05,Express Air,382.1098,34.58,8.99,Matt Collins,British Columbia,West,Consumer,Office Supplies,Pens & Art Supplies,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,Small Pack,0.56,00:00.0
77,450,3/4/2011,Not Specified,35,522.025,0.05,Regular Air,181.075,15.7,11.25,Matt Collins,British Columbia,West,Consumer,Office Supplies,Storage & Organization,Hanging Personal Folder File,Small Box,0.6,00:00.0
78,454,12/26/2011,Low,42,232.3776,0.09,Regular Air,141.1816,6.08,1.82,Darrin Martin,Ontario,Ontario,Small Business,Office Supplies,Rubber Bands,Staples Bulk Pack Metal Binder Clips,Wrap Bag,0.35,00:00.0
79,481,10/7/2012,High,44,5052.5244,0.01,Regular Air,2138.2352,115.99,5.26,Art Foster,British Columbia,West,Home Office,Technology,Telephones and Communication,636,Small Box,0.57,00:00.0
80,483,7/10/2011,High,30,5409.324,0.08,Regular Air,1995.108,195.99,3.99,Clay Rozendal,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,R380,Small Box,0.58,00:00.0
81,487,8/17/2012,Critical,19,192.4263,0.07,Regular Air,65.8494,10.89,4.5,Valerie Dominguez,Manitoba,Prarie,Corporate,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip,Small Box,0.59,00:00.0
82,512,5/19/2011,Low,6,1229.9712,0.06,Regular Air,466.0776,218.08,18.06,Sam Craven,Saskachewan,Prarie,Home Office,Furniture,Chairs & Chairmats,"Lifetime Advantage™ Folding Chairs, 4/Carton",Large Box,0.57,00:00.0
83,512,5/19/2011,Low,48,732.7584,0.01,Express Air,292.7856,15.42,10.68,Sam Craven,Saskachewan,Prarie,Home Office,Office Supplies,Storage & Organization,"Decoflex Hanging Personal Folder File, Blue",Small Box,0.58,00:00.0
84,513,4/30/2011,High,33,4979.37,0,Delivery Truck,1085.0551,150.89,60.2,Arthur Prichep,Ontario,Ontario,Home Office,Furniture,Chairs & Chairmats,"Global Leather & Oak Executive Chair, Burgundy",Jumbo Drum,0.77,00:00.0
85,515,8/28/2010,Not Specified,19,380.7144,0.08,Regular Air,167.8644,21.78,5.94,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5,00:00.0
86,515,8/28/2010,Not Specified,21,132.468,0.05,Regular Air,75.9252,6.64,4.95,Carlos Soltero,Nunavut,Nunavut,Consumer,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Pack,0.37,00:00.0
87,548,9/20/2009,Critical,41,121.2288,0.04,Regular Air,73.5152,3.08,0.99,Sung Chung,Saskachewan,Prarie,Home Office,Office Supplies,Labels,Avery 481,Small Box,0.37,00:00.0
88,548,9/20/2009,Critical,29,184.1616,0.02,Regular Air,108.7312,6.48,5.9,Sung Chung,Saskachewan,Prarie,Home Office,Office Supplies,Paper,Xerox 1976,Small Box,0.37,00:00.0
89,548,9/20/2009,Critical,26,3144.7104,0.04,Regular Air,1207.8238,125.99,4.2,Sung Chung,Saskachewan,Prarie,Home Office,Technology,Telephones and Communication,V3682,Small Box,0.59,00:00.0
90,549,7/12/2012,Critical,13,62.7978,0.03,Regular Air,32.0514,4.98,7.44,Ken Brennan,Ontario,Ontario,Consumer,Office Supplies,Paper,Xerox 1922,Small Box,0.36,00:00.0
91,549,7/12/2012,Critical,5,30.78,0.05,Regular Air,10.376,6.48,8.74,Ken Brennan,Ontario,Ontario,Consumer,Office Supplies,Paper,Xerox 1984,Small Box,0.36,00:00.0
92,549,7/12/2012,Critical,30,1109.79,0.05,Express Air,140.23,38.94,35,Ken Brennan,Ontario,Ontario,Consumer,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,0.8,00:00.0
93,610,8/1/2011,Critical,38,248.7632,0.02,Express Air,149.4324,6.68,5.41,Joe Elijah,Manitoba,Prarie,Home Office,Office Supplies,Paper,Xerox 195,Small Box,0.37,00:00.0
94,611,1/26/2010,Critical,47,798.624,0.04,Regular Air,298.333,17.7,9.47,Arthur Prichep,Ontario,Ontario,Home Office,Office Supplies,Storage & Organization,Portfile® Personal File Boxes,Small Box,0.59,00:00.0
95,612,10/20/2012,Medium,50,237.6,0.1,Regular Air,125.74,5.28,6.26,Sheri Gordon,Manitoba,Prarie,Corporate,Office Supplies,Paper,Xerox 1928,Small Box,0.4,00:00.0
96,612,10/20/2012,Medium,43,2809.1943,0.01,Regular Air,1246.0308,65.99,2.5,Sheri Gordon,Manitoba,Prarie,Corporate,Technology,Telephones and Communication,6190,Small Box,0.55,00:00.0
97,613,6/17/2011,High,12,84.972,0.03,Regular Air,43.964,7.3,7.72,Carl Jackson,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38,00:00.0
98,613,6/17/2011,High,22,856.0552,0.09,Regular Air,849.8352,42.76,6.22,Carl Jackson,Nunavut,Nunavut,Corporate,Office Supplies,Storage & Organization,"SAFCO Mobile Desk Side File, Wire Frame",Small Box,NULL,00:00.0
99,614,11/30/2012,High,41,587.94,0,Regular Air,294.8494,14.34,5,Dave Hallsten,Quebec,Quebec,Corporate,Furniture,Office Furnishings,Nu-Dell Leatherette Frames,Small Pack,0.49,00:00.0
100,614,11/30/2012,High,24,3096.9,0.07,Delivery Truck,580.28,138.75,52.42,Dave Hallsten,Quebec,Quebec,Corporate,Furniture,Tables,Balt Split Level Computer Training Table,Jumbo Box,0.74,00:00.0
101,640,1/22/2010,High,39,4623.8556,0.02,Delivery Truck,1026.5506,120.98,58.64,Tamara Chand,Ontario,Ontario,Consumer,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,Jumbo Box,0.75,00:00.0
102,640,1/22/2010,High,24,450.7272,0.01,Regular Air,272.7336,18.97,9.54,Tamara Chand,Ontario,Ontario,Consumer,Office Supplies,Paper,Xerox 1939,Small Box,0.37,00:00.0
103,643,3/24/2011,High,21,2697.8742,0.07,Express Air,2662.8742,138.14,35,Monica Federle,Nunavut,Nunavut,Corporate,Office Supplies,Storage & Organization,"SAFCO Commercial Wire Shelving, Black",Large Box,NULL,00:00.0
104,644,4/30/2012,Critical,5,1588.851,0.01,Delivery Truck,615.108,320.98,58.95,Bill Eplett,Quebec,Quebec,Corporate,Furniture,Chairs & Chairmats,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Jumbo Drum,0.57,00:00.0
105,645,12/2/2009,High,42,516.705,0.05,Regular Air,294.165,12.95,4.98,Harold Engle,Prince Edward Island,Atlantic,Consumer,Office Supplies,Binders and Binder Accessories,GBC Binding covers,Small Box,0.4,00:00.0
107,678,2/26/2010,Low,44,203.7816,0.07,Regular Air,112.186,4.98,8.33,Dorothy Badders,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 198,Small Box,0.38,00:00.0
108,706,9/8/2011,Critical,42,70.224,0.05,Regular Air,28.1288,1.76,0.7,Sarah Jordon,Nova Scotia,Atlantic,Consumer,Office Supplies,Pens & Art Supplies,Newell 326,Wrap Bag,0.56,00:00.0
106,646,11/21/2009,High,18,165.9042,0.01,Regular Air,68.0794,9.31,3.98,Duane Huffman,Ontario,Ontario,Small Business,Office Supplies,"Scissors, Rulers and Trimmers",Acme® Forged Steel Scissors with Black Enamel Handles,Small Pack,0.56,00:00.0
109,710,1/1/2010,Low,42,148.8564,0.01,Regular Air,87.7532,3.58,5.47,Susan MacKendrick,Manitoba,Prarie,Corporate,Office Supplies,Binders and Binder Accessories,Avery Poly Binder Pockets,Small Box,0.37,00:00.0
110,710,1/1/2010,Low,11,413.6132,0.09,Regular Air,59.518,41.32,8.66,Susan MacKendrick,Manitoba,Prarie,Corporate,Furniture,Office Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Medium Box,0.76,00:00.0
111,710,1/1/2010,Low,29,4133.689,0.02,Delivery Truck,1753.731,145.45,17.85,Susan MacKendrick,Manitoba,Prarie,Corporate,Technology,Office Machines,Panasonic KX-P1150 Dot Matrix Printer,Jumbo Drum,0.56,00:00.0
112,738,3/1/2010,Not Specified,7,544.1856,0.04,Regular Air,205.2382,80.98,4.5,Caroline Jumper,Quebec,Quebec,Corporate,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,Small Box,0.59,00:00.0
113,738,3/1/2010,Not Specified,31,184.8096,0.08,Regular Air,105.344,6.48,5.14,Caroline Jumper,Quebec,Quebec,Corporate,Office Supplies,Paper,Xerox 23,Small Box,0.37,00:00.0
114,740,7/15/2011,Medium,6,27.1908,0.09,Regular Air,15.0476,4.98,0.49,Thomas Boland,Ontario,Ontario,Corporate,Office Supplies,Labels,Avery White Multi-Purpose Labels,Small Box,0.39,00:00.0
115,769,6/1/2010,Medium,37,4205.7974,0.02,Delivery Truck,2433.0054,115.99,56.14,Roy French,Prince Edward Island,Atlantic,Consumer,Technology,Office Machines,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,Jumbo Drum,0.4,00:00.0
116,771,6/16/2011,Critical,18,82.4688,0.08,Regular Air,45.4784,4.98,4.72,Darrin Van Huff,Saskachewan,Prarie,Home Office,Office Supplies,Paper,Xerox 1949,Small Box,0.36,00:00.0
117,772,4/16/2010,High,35,564.144,0.08,Regular Air,249.374,17.52,8.17,Pamela Stobb,Quebec,Quebec,Consumer,Office Supplies,Appliances,Bionaire 99.97% HEPA Air Cleaner,Medium Box,0.5,00:00.0
118,772,4/16/2010,High,25,222.75,0.1,Regular Air,129.785,9.9,1.39,Pamela Stobb,Quebec,Quebec,Consumer,Office Supplies,Envelopes,#6 3/4 Gummed Flap White Envelopes,Small Box,0.37,00:00.0
119,773,9/25/2010,Medium,38,2357.1628,0.06,Regular Air,943.9056,65.99,8.99,Helen Abelman,Prince Edward Island,Atlantic,Home Office,Technology,Telephones and Communication,Talkabout T8367,Small Box,0.56,00:00.0
